Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,season,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,05/08/2011,Dortmund,Hamburg,3,1,H,2.0,0.0,H,2011-2012,16.0,8.0,5.0,3.0,12.0,18.0,7.0,7.0,1.0,3.0,0.0,0.0
D1,06/08/2011,Augsburg,Freiburg,2,2,D,0.0,0.0,D,2011-2012,11.0,9.0,7.0,4.0,17.0,25.0,5.0,4.0,2.0,4.0,0.0,0.0
D1,06/08/2011,FC Koln,Wolfsburg,0,3,A,0.0,1.0,A,2011-2012,7.0,17.0,1.0,8.0,15.0,22.0,7.0,5.0,0.0,5.0,1.0,0.0
D1,06/08/2011,Hannover,Hoffenheim,2,1,H,2.0,1.0,H,2011-2012,7.0,12.0,4.0,5.0,14.0,20.0,4.0,5.0,2.0,2.0,0.0,0.0
D1,06/08/2011,Hertha,Nurnberg,0,1,A,0.0,0.0,D,2011-2012,4.0,13.0,0.0,7.0,25.0,27.0,2.0,3.0,2.0,3.0,0.0,0.0
D1,06/08/2011,Stuttgart,Schalke 04,3,0,H,1.0,0.0,H,2011-2012,12.0,15.0,6.0,9.0,13.0,19.0,2.0,6.0,1.0,1.0,0.0,0.0
D1,06/08/2011,Werder Bremen,Kaiserslautern,2,0,H,0.0,0.0,D,2011-2012,19.0,9.0,5.0,3.0,14.0,27.0,6.0,5.0,1.0,2.0,0.0,0.0
D1,07/08/2011,Bayern Munich,M'gladbach,0,1,A,0.0,0.0,D,2011-2012,19.0,7.0,7.0,3.0,11.0,11.0,12.0,2.0,0.0,1.0,0.0,0.0
D1,07/08/2011,Mainz,Leverkusen,2,0,H,1.0,0.0,H,2011-2012,22.0,9.0,8.0,2.0,20.0,19.0,7.0,3.0,3.0,1.0,0.0,0.0
D1,13/08/2011,Freiburg,Mainz,1,2,A,0.0,0.0,D,2011-2012,18.0,9.0,7.0,4.0,11.0,18.0,4.0,6.0,0.0,2.0,0.0,0.0
D1,13/08/2011,Hamburg,Hertha,2,2,D,1.0,1.0,D,2011-2012,9.0,24.0,4.0,6.0,13.0,10.0,5.0,6.0,3.0,3.0,0.0,0.0
D1,13/08/2011,Hoffenheim,Dortmund,1,0,H,1.0,0.0,H,2011-2012,13.0,15.0,3.0,4.0,13.0,11.0,5.0,6.0,4.0,1.0,0.0,0.0
D1,13/08/2011,M'gladbach,Stuttgart,1,1,D,0.0,0.0,D,2011-2012,10.0,15.0,3.0,7.0,9.0,9.0,2.0,5.0,2.0,2.0,1.0,0.0
D1,13/08/2011,Nurnberg,Hannover,1,2,A,0.0,2.0,A,2011-2012,13.0,4.0,5.0,3.0,16.0,19.0,8.0,6.0,2.0,3.0,0.0,0.0
D1,13/08/2011,Schalke 04,FC Koln,5,1,H,1.0,1.0,D,2011-2012,18.0,6.0,5.0,2.0,17.0,16.0,7.0,2.0,0.0,3.0,0.0,0.0
D1,13/08/2011,Wolfsburg,Bayern Munich,0,1,A,0.0,0.0,D,2011-2012,7.0,11.0,1.0,3.0,14.0,15.0,9.0,8.0,0.0,3.0,0.0,0.0
D1,14/08/2011,Kaiserslautern,Augsburg,1,1,D,0.0,1.0,A,2011-2012,17.0,13.0,7.0,4.0,21.0,11.0,8.0,1.0,4.0,1.0,0.0,0.0
D1,14/08/2011,Leverkusen,Werder Bremen,1,0,H,0.0,0.0,D,2011-2012,16.0,9.0,6.0,1.0,18.0,18.0,7.0,1.0,1.0,2.0,0.0,0.0
D1,19/08/2011,M'gladbach,Wolfsburg,4,1,H,3.0,1.0,H,2011-2012,21.0,7.0,9.0,3.0,13.0,18.0,8.0,6.0,1.0,2.0,0.0,0.0
D1,20/08/2011,Augsburg,Hoffenheim,0,2,A,0.0,1.0,A,2011-2012,12.0,17.0,4.0,5.0,18.0,18.0,4.0,2.0,1.0,1.0,0.0,0.0
