Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,season,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
F1,06/08/2011,Ajaccio,Toulouse,0,2,A,0.0,1.0,A,2011-2012,18.0,13.0,6.0,8.0,14.0,17.0,11.0,4.0,4.0,2.0,0.0,0.0
F1,06/08/2011,Brest,Evian Thonon Gaillard,2,2,D,2.0,2.0,D,2011-2012,23.0,9.0,7.0,3.0,12.0,15.0,11.0,8.0,2.0,2.0,0.0,0.0
F1,06/08/2011,Caen,Valenciennes,1,0,H,1.0,0.0,H,2011-2012,11.0,11.0,3.0,6.0,12.0,11.0,3.0,11.0,2.0,1.0,0.0,0.0
F1,06/08/2011,Marseille,Sochaux,2,2,D,1.0,0.0,H,2011-2012,27.0,8.0,8.0,3.0,15.0,13.0,4.0,5.0,1.0,3.0,0.0,0.0
F1,06/08/2011,Montpellier,Auxerre,3,1,H,1.0,1.0,D,2011-2012,13.0,18.0,4.0,8.0,16.0,22.0,4.0,5.0,0.0,1.0,0.0,0.0
F1,06/08/2011,Nancy,Lille,1,1,D,0.0,0.0,D,2011-2012,5.0,18.0,1.0,6.0,17.0,21.0,6.0,8.0,2.0,3.0,1.0,0.0
F1,06/08/2011,Nice,Lyon,1,3,A,1.0,2.0,A,2011-2012,12.0,22.0,4.0,9.0,18.0,13.0,12.0,9.0,2.0,1.0,0.0,0.0
F1,06/08/2011,Paris SG,Lorient,0,1,A,0.0,1.0,A,2011-2012,12.0,9.0,3.0,4.0,21.0,10.0,7.0,6.0,1.0,3.0,0.0,0.0
F1,07/08/2011,Bordeaux,St Etienne,1,2,A,0.0,2.0,A,2011-2012,12.0,12.0,5.0,2.0,16.0,19.0,3.0,4.0,1.0,4.0,0.0,0.0
F1,07/08/2011,Dijon,Rennes,1,5,A,1.0,2.0,A,2011-2012,18.0,15.0,5.0,7.0,18.0,16.0,9.0,3.0,3.0,2.0,0.0,0.0
F1,13/08/2011,Lorient,Bordeaux,1,1,D,0.0,0.0,D,2011-2012,11.0,11.0,5.0,6.0,13.0,15.0,5.0,10.0,1.0,1.0,0.0,1.0
F1,13/08/2011,Lyon,Ajaccio,1,1,D,0.0,0.0,D,2011-2012,25.0,7.0,8.0,2.0,15.0,17.0,13.0,1.0,1.0,3.0,0.0,0.0
F1,13/08/2011,Rennes,Paris SG,1,1,D,0.0,0.0,D,2011-2012,11.0,8.0,4.0,4.0,15.0,21.0,3.0,3.0,2.0,2.0,0.0,0.0
F1,13/08/2011,Sochaux,Caen,1,2,A,0.0,1.0,A,2011-2012,18.0,16.0,8.0,6.0,13.0,20.0,8.0,3.0,0.0,1.0,0.0,0.0
F1,13/08/2011,St Etienne,Nancy,1,0,H,0.0,0.0,D,2011-2012,16.0,5.0,4.0,2.0,11.0,17.0,9.0,2.0,2.0,1.0,0.0,0.0
F1,13/08/2011,Toulouse,Dijon,2,0,H,0.0,0.0,D,2011-2012,13.0,7.0,7.0,3.0,8.0,11.0,6.0,1.0,1.0,2.0,0.0,0.0
F1,13/08/2011,Valenciennes,Brest,0,0,D,0.0,0.0,D,2011-2012,12.0,7.0,6.0,6.0,17.0,16.0,7.0,4.0,1.0,1.0,0.0,0.0
F1,14/08/2011,Auxerre,Marseille,2,2,D,0.0,2.0,A,2011-2012,13.0,7.0,5.0,2.0,18.0,18.0,9.0,2.0,5.0,2.0,0.0,0.0
F1,14/08/2011,Evian Thonon Gaillard,Nice,1,0,H,0.0,0.0,D,2011-2012,13.0,12.0,4.0,3.0,14.0,13.0,2.0,5.0,3.0,1.0,0.0,0.0
F1,14/08/2011,Lille,Montpellier,0,1,A,0.0,0.0,D,2011-2012,20.0,9.0,6.0,3.0,10.0,22.0,7.0,0.0,3.0,2.0,0.0,0.0
F1,20/08/2011,Ajaccio,Evian Thonon Gaillard,1,1,D,1.0,0.0,H,2011-2012,7.0,18.0,2.0,3.0,22.0,18.0,1.0,9.0,4.0,3.0,0.0,0.0
F1,20/08/2011,Bordeaux,Auxerre,1,1,D,1.0,0.0,H,2011-2012,16.0,8.0,4.0,2.0,14.0,16.0,10.0,1.0,1.0,3.0,0.0,0.0
F1,20/08/2011,Brest,Lyon,1,1,D,1.0,0.0,H,2011-2012,12.0,8.0,6.0,2.0,16.0,17.0,5.0,8.0,2.0,2.0,0.0,1.0
F1,20/08/2011,Caen,Lille,1,2,A,0.0,0.0,D,2011-2012,6.0,19.0,2.0,10.0,18.0,17.0,0.0,7.0,1.0,2.0,0.0,0.0
F1,20/08/2011,Dijon,Lorient,2,0,H,1.0,0.0,H,2011-2012,6.0,23.0,2.0,6.0,19.0,15.0,1.0,14.0,2.0,4.0,1.0,0.0
F1,20/08/2011,Nice,Toulouse,1,1,D,1.0,0.0,H,2011-2012,12.0,8.0,3.0,3.0,14.0,16.0,3.0,1.0,3.0,2.0,0.0,1.0
F1,21/08/2011,Marseille,St Etienne,0,0,D,0.0,0.0,D,2011-2012,18.0,4.0,4.0,1.0,11.0,17.0,9.0,3.0,1.0,3.0,0.0,1.0
F1,21/08/2011,Montpellier,Rennes,4,0,H,1.0,0.0,H,2011-2012,13.0,7.0,7.0,1.0,21.0,14.0,4.0,1.0,4.0,3.0,0.0,0.0
F1,21/08/2011,Nancy,Sochaux,1,2,A,0.0,0.0,D,2011-2012,12.0,8.0,4.0,3.0,18.0,17.0,4.0,4.0,2.0,1.0,0.0,1.0
F1,21/08/2011,Paris SG,Valenciennes,2,1,H,1.0,1.0,D,2011-2012,16.0,10.0,4.0,4.0,10.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0
F1,27/08/2011,Auxerre,Ajaccio,4,1,H,1.0,0.0,H,2011-2012,22.0,4.0,9.0,1.0,5.0,15.0,10.0,2.0,1.0,4.0,0.0,0.0
F1,27/08/2011,Evian Thonon Gaillard,Dijon,0,1,A,0.0,0.0,D,2011-2012,14.0,8.0,5.0,4.0,16.0,18.0,5.0,4.0,2.0,2.0,0.0,0.0
F1,27/08/2011,Lorient,Nancy,2,1,H,0.0,1.0,A,2011-2012,20.0,8.0,7.0,2.0,10.0,17.0,10.0,1.0,3.0,2.0,0.0,0.0
F1,27/08/2011,Lyon,Montpellier,2,1,H,0.0,0.0,D,2011-2012,11.0,18.0,4.0,8.0,14.0,13.0,5.0,7.0,4.0,3.0,0.0,1.0
F1,27/08/2011,Nice,Brest,0,0,D,0.0,0.0,D,2011-2012,12.0,14.0,3.0,5.0,14.0,18.0,7.0,3.0,0.0,3.0,0.0,0.0
F1,27/08/2011,Valenciennes,Bordeaux,1,2,A,1.0,0.0,H,2011-2012,11.0,10.0,3.0,5.0,22.0,17.0,4.0,4.0,2.0,3.0,0.0,0.0
F1,28/08/2011,Lille,Marseille,3,2,H,1.0,0.0,H,2011-2012,6.0,18.0,5.0,4.0,17.0,15.0,5.0,6.0,2.0,4.0,0.0,0.0
F1,28/08/2011,Rennes,Caen,3,2,H,3.0,0.0,H,2011-2012,19.0,16.0,8.0,8.0,18.0,18.0,5.0,10.0,1.0,1.0,0.0,0.0
F1,28/08/2011,Sochaux,St Etienne,2,1,H,2.0,1.0,H,2011-2012,12.0,7.0,5.0,1.0,17.0,16.0,4.0,5.0,2.0,3.0,0.0,1.0
F1,28/08/2011,Toulouse,Paris SG,1,3,A,1.0,0.0,H,2011-2012,11.0,12.0,2.0,5.0,17.0,14.0,5.0,3.0,2.0,0.0,0.0,0.0
F1,10/09/2011,Ajaccio,Valenciennes,3,1,H,0.0,1.0,A,2011-2012,15.0,19.0,9.0,6.0,13.0,16.0,3.0,7.0,1.0,2.0,0.0,0.0
F1,10/09/2011,Bordeaux,Evian Thonon Gaillard,0,0,D,0.0,0.0,D,2011-2012,16.0,7.0,4.0,3.0,19.0,18.0,5.0,3.0,2.0,3.0,0.0,0.0
F1,10/09/2011,Caen,Toulouse,0,1,A,0.0,0.0,D,2011-2012,9.0,17.0,0.0,6.0,15.0,17.0,6.0,5.0,1.0,2.0,0.0,0.0
F1,10/09/2011,Dijon,Lyon,1,2,A,1.0,1.0,D,2011-2012,7.0,18.0,4.0,4.0,11.0,17.0,7.0,5.0,1.0,1.0,0.0,0.0
F1,10/09/2011,Marseille,Rennes,0,1,A,0.0,0.0,D,2011-2012,22.0,7.0,8.0,3.0,8.0,17.0,13.0,6.0,2.0,4.0,0.0,0.0
F1,10/09/2011,Sochaux,Lorient,1,1,D,1.0,0.0,H,2011-2012,11.0,8.0,2.0,2.0,6.0,16.0,1.0,6.0,3.0,3.0,0.0,0.0
F1,10/09/2011,St Etienne,Lille,1,3,A,1.0,0.0,H,2011-2012,4.0,10.0,0.0,5.0,15.0,13.0,3.0,2.0,2.0,4.0,1.0,0.0
F1,11/09/2011,Montpellier,Nice,1,0,H,0.0,0.0,D,2011-2012,23.0,13.0,4.0,1.0,8.0,13.0,2.0,6.0,2.0,2.0,0.0,0.0
F1,11/09/2011,Nancy,Auxerre,0,0,D,0.0,0.0,D,2011-2012,15.0,13.0,8.0,4.0,7.0,16.0,1.0,6.0,0.0,3.0,0.0,0.0
F1,11/09/2011,Paris SG,Brest,1,0,H,0.0,0.0,D,2011-2012,12.0,15.0,3.0,1.0,14.0,20.0,4.0,6.0,3.0,3.0,0.0,0.0
F1,17/09/2011,Auxerre,Caen,1,1,D,1.0,1.0,D,2011-2012,10.0,10.0,2.0,6.0,22.0,15.0,4.0,6.0,3.0,3.0,0.0,0.0
F1,17/09/2011,Brest,Montpellier,2,2,D,0.0,2.0,A,2011-2012,12.0,13.0,5.0,7.0,23.0,26.0,4.0,2.0,3.0,3.0,1.0,0.0
F1,17/09/2011,Lille,Sochaux,2,2,D,0.0,0.0,D,2011-2012,14.0,9.0,4.0,4.0,9.0,16.0,9.0,3.0,1.0,3.0,1.0,0.0
F1,17/09/2011,Lorient,St Etienne,3,0,H,1.0,0.0,H,2011-2012,7.0,15.0,6.0,3.0,11.0,13.0,6.0,9.0,1.0,2.0,0.0,0.0
F1,17/09/2011,Nice,Ajaccio,3,0,H,1.0,0.0,H,2011-2012,23.0,6.0,6.0,2.0,18.0,13.0,6.0,2.0,4.0,2.0,0.0,1.0
F1,17/09/2011,Toulouse,Bordeaux,3,2,H,0.0,2.0,A,2011-2012,23.0,8.0,8.0,3.0,24.0,22.0,6.0,1.0,3.0,1.0,0.0,1.0
F1,17/09/2011,Valenciennes,Dijon,4,0,H,0.0,0.0,D,2011-2012,14.0,8.0,9.0,2.0,21.0,16.0,5.0,4.0,3.0,2.0,0.0,1.0
F1,18/09/2011,Evian Thonon Gaillard,Paris SG,2,2,D,2.0,1.0,H,2011-2012,17.0,15.0,5.0,7.0,25.0,11.0,4.0,8.0,4.0,1.0,0.0,0.0
F1,18/09/2011,Rennes,Nancy,1,1,D,1.0,0.0,H,2011-2012,15.0,10.0,4.0,2.0,10.0,20.0,6.0,2.0,3.0,4.0,0.0,0.0
F1,20/09/2011,Bordeaux,Lille,1,1,D,1.0,0.0,H,2011-2012,13.0,11.0,4.0,5.0,27.0,22.0,3.0,8.0,3.0,3.0,0.0,0.0
F1,21/09/2011,Ajaccio,Montpellier,1,3,A,0.0,3.0,A,2011-2012,16.0,7.0,5.0,3.0,18.0,18.0,10.0,2.0,3.0,3.0,0.0,1.0
F1,21/09/2011,Caen,Lyon,1,0,H,1.0,0.0,H,2011-2012,9.0,11.0,1.0,2.0,18.0,10.0,6.0,3.0,1.0,0.0,1.0,1.0
F1,21/09/2011,Dijon,Brest,1,0,H,1.0,0.0,H,2011-2012,20.0,11.0,4.0,2.0,16.0,14.0,9.0,3.0,2.0,2.0,0.0,1.0
F1,21/09/2011,Lorient,Auxerre,1,1,D,1.0,0.0,H,2011-2012,9.0,12.0,3.0,6.0,6.0,18.0,5.0,1.0,2.0,3.0,0.0,0.0
F1,21/09/2011,Marseille,Evian Thonon Gaillard,2,0,H,1.0,0.0,H,2011-2012,25.0,5.0,10.0,1.0,18.0,21.0,5.0,1.0,3.0,3.0,0.0,1.0
F1,21/09/2011,Nancy,Valenciennes,1,1,D,1.0,0.0,H,2011-2012,5.0,13.0,1.0,3.0,15.0,22.0,1.0,9.0,1.0,1.0,0.0,1.0
F1,21/09/2011,Paris SG,Nice,2,1,H,1.0,0.0,H,2011-2012,12.0,12.0,6.0,6.0,15.0,13.0,6.0,5.0,2.0,2.0,1.0,1.0
F1,21/09/2011,Sochaux,Rennes,2,6,A,2.0,2.0,D,2011-2012,8.0,19.0,4.0,9.0,12.0,16.0,7.0,2.0,1.0,2.0,0.0,0.0
F1,21/09/2011,St Etienne,Toulouse,1,1,D,0.0,1.0,A,2011-2012,14.0,5.0,3.0,2.0,10.0,18.0,7.0,0.0,2.0,2.0,0.0,0.0
F1,24/09/2011,Evian Thonon Gaillard,Caen,2,4,A,2.0,2.0,D,2011-2012,15.0,9.0,4.0,6.0,14.0,13.0,4.0,2.0,3.0,1.0,1.0,1.0
F1,24/09/2011,Lille,Lorient,1,1,D,1.0,0.0,H,2011-2012,10.0,7.0,2.0,1.0,8.0,17.0,5.0,3.0,2.0,1.0,0.0,0.0
F1,24/09/2011,Lyon,Bordeaux,3,1,H,2.0,0.0,H,2011-2012,13.0,12.0,8.0,1.0,18.0,17.0,2.0,6.0,2.0,2.0,0.0,0.0
F1,24/09/2011,Montpellier,Paris SG,0,3,A,0.0,2.0,A,2011-2012,21.0,13.0,7.0,6.0,10.0,17.0,5.0,3.0,1.0,4.0,0.0,0.0
F1,24/09/2011,Nice,Dijon,1,1,D,0.0,1.0,A,2011-2012,22.0,9.0,4.0,2.0,19.0,15.0,8.0,2.0,1.0,1.0,0.0,0.0
F1,24/09/2011,Toulouse,Nancy,1,0,H,0.0,0.0,D,2011-2012,12.0,6.0,4.0,3.0,15.0,19.0,5.0,2.0,1.0,3.0,0.0,0.0
F1,24/09/2011,Valenciennes,Marseille,1,1,D,0.0,1.0,A,2011-2012,18.0,4.0,8.0,2.0,13.0,17.0,6.0,2.0,2.0,4.0,0.0,1.0
F1,25/09/2011,Auxerre,Sochaux,4,1,H,0.0,1.0,A,2011-2012,16.0,10.0,9.0,3.0,15.0,8.0,7.0,5.0,1.0,0.0,0.0,0.0
F1,25/09/2011,Brest,Ajaccio,1,1,D,0.0,0.0,D,2011-2012,16.0,8.0,4.0,3.0,18.0,17.0,7.0,4.0,2.0,3.0,0.0,0.0
F1,25/09/2011,Rennes,St Etienne,1,1,D,1.0,0.0,H,2011-2012,14.0,10.0,5.0,4.0,10.0,18.0,5.0,9.0,2.0,2.0,0.0,0.0
F1,01/10/2011,Bordeaux,Montpellier,2,2,D,1.0,0.0,H,2011-2012,7.0,16.0,2.0,4.0,17.0,16.0,4.0,6.0,2.0,3.0,1.0,1.0
F1,01/10/2011,Caen,Nice,1,1,D,0.0,0.0,D,2011-2012,8.0,15.0,3.0,6.0,12.0,15.0,4.0,4.0,2.0,3.0,0.0,0.0
F1,01/10/2011,Dijon,Ajaccio,1,1,D,1.0,1.0,D,2011-2012,20.0,5.0,6.0,3.0,18.0,15.0,15.0,3.0,1.0,2.0,0.0,1.0
F1,01/10/2011,Lorient,Valenciennes,2,0,H,1.0,0.0,H,2011-2012,18.0,16.0,7.0,3.0,13.0,16.0,8.0,4.0,3.0,4.0,0.0,0.0
F1,01/10/2011,Nancy,Evian Thonon Gaillard,1,1,D,0.0,0.0,D,2011-2012,14.0,8.0,6.0,3.0,17.0,16.0,7.0,2.0,1.0,2.0,0.0,0.0
F1,01/10/2011,Sochaux,Toulouse,3,0,H,1.0,0.0,H,2011-2012,7.0,9.0,3.0,2.0,11.0,18.0,4.0,5.0,0.0,2.0,0.0,0.0
F1,01/10/2011,St Etienne,Auxerre,1,1,D,1.0,1.0,D,2011-2012,19.0,9.0,6.0,3.0,10.0,16.0,15.0,3.0,0.0,0.0,0.0,0.0
F1,02/10/2011,Lille,Rennes,2,0,H,2.0,0.0,H,2011-2012,10.0,11.0,4.0,4.0,17.0,24.0,5.0,4.0,2.0,3.0,0.0,0.0
F1,02/10/2011,Marseille,Brest,1,1,D,1.0,1.0,D,2011-2012,14.0,10.0,2.0,3.0,13.0,21.0,6.0,6.0,1.0,1.0,0.0,0.0
F1,02/10/2011,Paris SG,Lyon,2,0,H,0.0,0.0,D,2011-2012,17.0,11.0,7.0,2.0,16.0,25.0,9.0,6.0,2.0,4.0,0.0,0.0
F1,15/10/2011,Auxerre,Lille,1,3,A,1.0,0.0,H,2011-2012,8.0,13.0,2.0,8.0,20.0,11.0,5.0,4.0,3.0,1.0,0.0,0.0
