Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,HTHG,HTAG,HTR
P1,12/08/2011,Gil Vicente,Benfica,2,2,D,2011-2012,1.0,2.0,A
P1,13/08/2011,Rio Ave,Sp Braga,0,0,D,2011-2012,0.0,0.0,D
P1,13/08/2011,Sp Lisbon,Olhanense,1,1,D,2011-2012,0.0,1.0,A
P1,14/08/2011,Feirense ,Nacional,0,0,D,2011-2012,0.0,0.0,D
P1,14/08/2011,Guimaraes,Porto,0,1,A,2011-2012,0.0,1.0,A
P1,14/08/2011,Maritimo,Beira Mar,0,0,D,2011-2012,0.0,0.0,D
P1,14/08/2011,Setubal,Pacos Ferreira,2,1,H,2011-2012,0.0,1.0,A
P1,15/08/2011,Leiria,Academica,1,2,A,2011-2012,1.0,0.0,H
P1,19/08/2011,Porto,Gil Vicente,3,1,H,2011-2012,2.0,1.0,H
P1,20/08/2011,Benfica,Feirense,3,1,H,2011-2012,1.0,0.0,H
P1,21/08/2011,Academica,Rio Ave,1,0,H,2011-2012,1.0,0.0,H
P1,21/08/2011,Beira Mar,Sp Lisbon,0,0,D,2011-2012,0.0,0.0,D
P1,21/08/2011,Pacos Ferreira,Leiria,2,1,H,2011-2012,0.0,0.0,D
P1,21/08/2011,Sp Braga,Maritimo,2,0,H,2011-2012,0.0,0.0,D
P1,22/08/2011,Olhanense,Setubal,2,2,D,2011-2012,0.0,2.0,A
P1,27/08/2011,Gil Vicente,Academica,2,0,H,2011-2012,0.0,0.0,D
P1,28/08/2011,Feirense,Pacos Ferreira,0,0,D,2011-2012,0.0,0.0,D
P1,28/08/2011,Guimaraes,Beira Mar,0,3,A,2011-2012,0.0,1.0,A
P1,28/08/2011,Rio Ave,Olhanense,0,1,A,2011-2012,0.0,1.0,A
P1,28/08/2011,Sp Lisbon,Maritimo,2,3,A,2011-2012,1.0,0.0,H
P1,29/08/2011,Nacional,Benfica,0,2,A,2011-2012,0.0,1.0,A
P1,29/08/2011,Setubal,Sp Braga,0,1,A,2011-2012,0.0,0.0,D
P1,04/09/2011,Nacional,Guimaraes,1,4,A,2011-2012,0.0,2.0,A
P1,06/09/2011,Leiria,Porto,2,5,A,2011-2012,0.0,2.0,A
P1,09/09/2011,Porto,Setubal,3,0,H,2011-2012,0.0,0.0,D
P1,10/09/2011,Benfica,Guimaraes,2,1,H,2011-2012,2.0,0.0,H
P1,10/09/2011,Pacos Ferreira,Sp Lisbon,2,3,A,2011-2012,1.0,0.0,H
P1,11/09/2011,Beira Mar,Leiria,0,1,A,2011-2012,0.0,0.0,D
P1,11/09/2011,Maritimo,Rio Ave,2,1,H,2011-2012,1.0,1.0,D
P1,11/09/2011,Olhanense,Feirense,1,2,A,2011-2012,0.0,1.0,A
P1,11/09/2011,Sp Braga,Gil Vicente,3,1,H,2011-2012,0.0,0.0,D
P1,12/09/2011,Academica,Nacional,4,0,H,2011-2012,0.0,0.0,D
P1,16/09/2011,Gil Vicente,Olhanense,1,1,D,2011-2012,0.0,1.0,A
P1,17/09/2011,Nacional,Pacos Ferreira,1,0,H,2011-2012,1.0,0.0,H
P1,18/09/2011,Benfica,Academica,4,1,H,2011-2012,2.0,1.0,H
P1,18/09/2011,Feirense,Porto,0,0,D,2011-2012,0.0,0.0,D
P1,18/09/2011,Leiria,Maritimo,1,3,A,2011-2012,0.0,2.0,A
P1,18/09/2011,Setubal,Beira Mar,1,0,H,2011-2012,0.0,0.0,D
P1,19/09/2011,Guimaraes,Sp Braga,1,1,D,2011-2012,1.0,0.0,H
P1,19/09/2011,Rio Ave,Sp Lisbon,2,3,A,2011-2012,0.0,2.0,A
P1,23/09/2011,Porto,Benfica,2,2,D,2011-2012,1.0,0.0,H
P1,24/09/2011,Sp Braga,Nacional,2,0,H,2011-2012,1.0,0.0,H
P1,24/09/2011,Sp Lisbon,Setubal,3,0,H,2011-2012,3.0,0.0,H
P1,25/09/2011,Beira Mar,Rio Ave,0,0,D,2011-2012,0.0,0.0,D
P1,25/09/2011,Maritimo,Guimaraes,2,1,H,2011-2012,1.0,0.0,H
P1,25/09/2011,Olhanense,Leiria,2,1,H,2011-2012,1.0,0.0,H
P1,25/09/2011,Pacos Ferreira,Gil Vicente,1,2,A,2011-2012,1.0,1.0,D
P1,26/09/2011,Academica,Feirense,4,0,H,2011-2012,4.0,0.0,H
P1,30/09/2011,Setubal,Rio Ave,2,1,H,2011-2012,1.0,1.0,D
P1,01/10/2011,Benfica,Pacos Ferreira,4,1,H,2011-2012,2.0,0.0,H
P1,02/10/2011,Academica,Porto,0,3,A,2011-2012,0.0,2.0,A
P1,02/10/2011,Feirense,Maritimo,2,2,D,2011-2012,1.0,1.0,D
P1,02/10/2011,Guimaraes,Sp Lisbon,0,1,A,2011-2012,0.0,1.0,A
P1,02/10/2011,Leiria,Sp Braga,1,0,H,2011-2012,1.0,0.0,H
P1,02/10/2011,Nacional,Olhanense,1,0,H,2011-2012,1.0,0.0,H
P1,03/10/2011,Gil Vicente,Beira Mar,0,0,D,2011-2012,0.0,0.0,D
P1,21/10/2011,Pacos Ferreira,Academica,2,0,H,2011-2012,2.0,0.0,H
P1,22/10/2011,Beira Mar,Benfica,0,1,A,2011-2012,0.0,1.0,A
P1,22/10/2011,Olhanense,Guimaraes,1,0,H,2011-2012,0.0,0.0,D
P1,23/10/2011,Maritimo,Setubal,1,0,H,2011-2012,1.0,0.0,H
P1,23/10/2011,Porto,Nacional,5,0,H,2011-2012,2.0,0.0,H
P1,23/10/2011,Rio Ave,Leiria,2,0,H,2011-2012,1.0,0.0,H
P1,23/10/2011,Sp Braga,Feirense,3,0,H,2011-2012,1.0,0.0,H
P1,24/10/2011,Sp Lisbon,Gil Vicente,6,1,H,2011-2012,1.0,0.0,H
P1,28/10/2011,Porto,Pacos Ferreira,3,0,H,2011-2012,1.0,0.0,H
P1,29/10/2011,Academica,Sp Braga,0,0,D,2011-2012,0.0,0.0,D
P1,29/10/2011,Benfica,Olhanense,2,1,H,2011-2012,2.0,0.0,H
P1,30/10/2011,Feirense,Sp Lisbon,0,2,A,2011-2012,0.0,0.0,D
P1,30/10/2011,Guimaraes,Rio Ave,2,1,H,2011-2012,1.0,1.0,D
P1,30/10/2011,Leiria,Setubal,2,0,H,2011-2012,2.0,0.0,H
P1,30/10/2011,Nacional,Beira Mar,2,1,H,2011-2012,2.0,1.0,H
P1,01/11/2011,Gil Vicente,Maritimo,0,0,D,2011-2012,0.0,0.0,D
P1,04/11/2011,Pacos Ferreira,Guimaraes,1,5,A,2011-2012,1.0,1.0,D
P1,05/11/2011,Maritimo,Academica,3,2,H,2011-2012,2.0,1.0,H
P1,05/11/2011,Olhanense,Porto,0,0,D,2011-2012,0.0,0.0,D
P1,06/11/2011,Beira Mar,Feirense,2,1,H,2011-2012,2.0,0.0,H
P1,06/11/2011,Rio Ave,Nacional,2,1,H,2011-2012,0.0,1.0,A
P1,06/11/2011,Setubal,Gil Vicente,0,0,D,2011-2012,0.0,0.0,D
P1,06/11/2011,Sp Braga,Benfica,1,1,D,2011-2012,1.0,0.0,H
P1,06/11/2011,Sp Lisbon,Leiria,3,1,H,2011-2012,1.0,1.0,D
P1,25/11/2011,Academica,Beira Mar,0,1,A,2011-2012,0.0,1.0,A
P1,26/11/2011,Benfica,Sp Lisbon,1,0,H,2011-2012,1.0,0.0,H
P1,26/11/2011,Nacional,Maritimo,2,2,D,2011-2012,0.0,1.0,A
P1,27/11/2011,Feirense,Rio Ave,2,0,H,2011-2012,2.0,0.0,H
P1,27/11/2011,Gil Vicente,Leiria,2,1,H,2011-2012,1.0,0.0,H
P1,27/11/2011,Pacos Ferreira,Olhanense,1,1,D,2011-2012,0.0,0.0,D
P1,27/11/2011,Porto,Sp Braga,3,2,H,2011-2012,1.0,0.0,H
P1,28/11/2011,Guimaraes,Setubal,3,0,H,2011-2012,0.0,0.0,D
P1,09/12/2011,Sp Braga,Pacos Ferreira,5,2,H,2011-2012,2.0,1.0,H
P1,10/12/2011,Beira Mar,Porto,1,2,A,2011-2012,1.0,1.0,D
P1,10/12/2011,Sp Lisbon,Nacional,1,0,H,2011-2012,1.0,0.0,H
P1,11/12/2011,Leiria,Guimaraes,1,0,H,2011-2012,1.0,0.0,H
P1,11/12/2011,Maritimo,Benfica,0,1,A,2011-2012,0.0,0.0,D
P1,11/12/2011,Rio Ave,Gil Vicente,2,0,H,2011-2012,1.0,0.0,H
P1,11/12/2011,Setubal,Feirense,1,1,D,2011-2012,1.0,1.0,D
P1,12/12/2011,Olhanense,Academica,0,2,A,2011-2012,0.0,1.0,A
P1,16/12/2011,Benfica,Rio Ave,5,1,H,2011-2012,3.0,1.0,H
P1,17/12/2011,Guimaraes,Gil Vicente,1,1,D,2011-2012,1.0,1.0,D
P1,17/12/2011,Porto,Maritimo,2,0,H,2011-2012,0.0,0.0,D
P1,18/12/2011,Academica,Sp Lisbon,1,1,D,2011-2012,1.0,0.0,H
P1,18/12/2011,Feirense,Leiria,2,1,H,2011-2012,1.0,0.0,H
P1,18/12/2011,Nacional,Setubal,1,1,D,2011-2012,0.0,1.0,A
P1,18/12/2011,Pacos Ferreira,Beira Mar,0,3,A,2011-2012,0.0,2.0,A
P1,19/12/2011,Olhanense,Sp Braga,3,4,A,2011-2012,2.0,0.0,H
P1,06/01/2012,Setubal,Academica,1,1,D,2011-2012,0.0,0.0,D
P1,07/01/2012,Sp Lisbon,Porto,0,0,D,2011-2012,0.0,0.0,D
P1,08/01/2012,Gil Vicente,Nacional,0,3,A,2011-2012,0.0,2.0,A
P1,08/01/2012,Guimaraes,Feirense,1,0,H,2011-2012,0.0,0.0,D
P1,08/01/2012,Leiria,Benfica,0,4,A,2011-2012,0.0,1.0,A
P1,08/01/2012,Maritimo,Olhanense,2,1,H,2011-2012,2.0,1.0,H
P1,08/01/2012,Rio Ave,Pacos Ferreira,1,0,H,2011-2012,1.0,0.0,H
P1,09/01/2012,Beira Mar,Sp Braga,1,2,A,2011-2012,1.0,1.0,D
P1,13/01/2012,Pacos Ferreira,Maritimo,1,1,D,2011-2012,0.0,0.0,D
P1,14/01/2012,Benfica,Setubal,4,1,H,2011-2012,3.0,1.0,H
P1,14/01/2012,Feirense,Gil Vicente,0,0,D,2011-2012,0.0,0.0,D
P1,14/01/2012,Porto,Rio Ave,2,0,H,2011-2012,1.0,0.0,H
P1,15/01/2012,Academica,Guimaraes,0,2,A,2011-2012,0.0,1.0,A
P1,15/01/2012,Nacional,Leiria,2,2,D,2011-2012,0.0,1.0,A
P1,15/01/2012,Olhanense,Beira Mar,2,1,H,2011-2012,0.0,0.0,D
P1,15/01/2012,Sp Braga,Sp Lisbon,2,1,H,2011-2012,0.0,0.0,D
P1,20/01/2012,Academica,Leiria,0,0,D,2011-2012,0.0,0.0,D
P1,21/01/2012,Beira Mar,Maritimo,1,2,A,2011-2012,0.0,1.0,A
P1,22/01/2012,Benfica,Gil Vicente,3,1,H,2011-2012,1.0,1.0,D
P1,22/01/2012,Nacional,Feirense,2,0,H,2011-2012,1.0,0.0,H
P1,22/01/2012,Pacos Ferreira,Setubal,2,1,H,2011-2012,0.0,0.0,D
P1,22/01/2012,Porto,Guimaraes,3,1,H,2011-2012,1.0,0.0,H
P1,22/01/2012,Sp Braga,Rio Ave,2,1,H,2011-2012,2.0,0.0,H
P1,23/01/2012,Olhanense,Sp Lisbon,0,0,D,2011-2012,0.0,0.0,D
P1,27/01/2012,Guimaraes,Nacional,1,0,H,2011-2012,0.0,0.0,D
P1,28/01/2012,Feirense,Benfica,1,2,A,2011-2012,0.0,0.0,D
P1,28/01/2012,Rio Ave,Academica,0,0,D,2011-2012,0.0,0.0,D
P1,29/01/2012,Gil Vicente,Porto,3,1,H,2011-2012,2.0,0.0,H
