Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,season,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,09/09/2011,Milan,Lazio,2,2,D,2.0,2.0,D,2011-2012,18.0,12.0,8.0,5.0,16.0,15.0,3.0,1.0,2.0,2.0,0.0,0.0
I1,10/09/2011,Cesena,Napoli,1,3,A,1.0,1.0,D,2011-2012,11.0,18.0,3.0,6.0,14.0,12.0,4.0,6.0,2.0,3.0,1.0,0.0
I1,11/09/2011,Catania,Siena,0,0,D,0.0,0.0,D,2011-2012,9.0,4.0,1.0,2.0,14.0,25.0,4.0,4.0,2.0,4.0,0.0,0.0
I1,11/09/2011,Chievo,Novara,2,2,D,2.0,1.0,H,2011-2012,11.0,14.0,4.0,4.0,20.0,17.0,0.0,6.0,1.0,1.0,1.0,0.0
I1,11/09/2011,Fiorentina,Bologna,2,0,H,1.0,0.0,H,2011-2012,15.0,14.0,7.0,2.0,22.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0
I1,11/09/2011,Genoa,Atalanta,2,2,D,1.0,2.0,A,2011-2012,15.0,16.0,4.0,5.0,16.0,17.0,7.0,3.0,2.0,4.0,1.0,0.0
I1,11/09/2011,Juventus,Parma,4,1,H,1.0,0.0,H,2011-2012,12.0,2.0,6.0,1.0,15.0,12.0,4.0,1.0,0.0,2.0,1.0,0.0
I1,11/09/2011,Lecce,Udinese,0,2,A,0.0,2.0,A,2011-2012,18.0,15.0,2.0,4.0,19.0,11.0,8.0,5.0,2.0,1.0,0.0,0.0
I1,11/09/2011,Palermo,Inter,4,3,H,0.0,1.0,A,2011-2012,16.0,18.0,9.0,5.0,10.0,20.0,4.0,7.0,2.0,3.0,0.0,0.0
I1,11/09/2011,Roma,Cagliari,1,2,A,0.0,0.0,D,2011-2012,16.0,10.0,8.0,3.0,13.0,16.0,5.0,4.0,0.0,5.0,1.0,0.0
I1,17/09/2011,Cagliari,Novara,2,1,H,1.0,0.0,H,2011-2012,17.0,7.0,5.0,4.0,23.0,18.0,4.0,5.0,2.0,3.0,0.0,0.0
I1,17/09/2011,Inter,Roma,0,0,D,0.0,0.0,D,2011-2012,18.0,12.0,4.0,3.0,12.0,15.0,5.0,6.0,1.0,1.0,0.0,0.0
I1,18/09/2011,Atalanta,Palermo,1,0,H,1.0,0.0,H,2011-2012,8.0,11.0,1.0,0.0,15.0,10.0,1.0,8.0,4.0,3.0,0.0,0.0
I1,18/09/2011,Bologna,Lecce,0,2,A,0.0,1.0,A,2011-2012,12.0,17.0,4.0,7.0,14.0,14.0,8.0,3.0,3.0,2.0,0.0,0.0
I1,18/09/2011,Catania,Cesena,1,0,H,1.0,0.0,H,2011-2012,10.0,4.0,3.0,2.0,16.0,12.0,8.0,1.0,4.0,2.0,0.0,0.0
I1,18/09/2011,Lazio,Genoa,1,2,A,1.0,0.0,H,2011-2012,11.0,10.0,2.0,4.0,13.0,16.0,6.0,2.0,1.0,2.0,0.0,0.0
I1,18/09/2011,Napoli,Milan,3,1,H,2.0,1.0,H,2011-2012,13.0,11.0,4.0,4.0,17.0,10.0,2.0,3.0,3.0,4.0,0.0,0.0
I1,18/09/2011,Parma,Chievo,2,1,H,1.0,0.0,H,2011-2012,11.0,10.0,5.0,1.0,21.0,13.0,0.0,2.0,1.0,3.0,1.0,0.0
